symbol,date,observed_ratio,factor,kind,snap_gap,open_gap
ADANIPORTS,2010-09-23,0.197849,0.2,split_bonus_large,0.0108,0.0186
ASIANPAINT,2000-08-02,0.586422,0.6,split_bonus_large,0.0229,0.0233
ASIANPAINT,2003-08-22,0.674429,0.666667,split_bonus_large,0.0116,0.0089
ASIANPAINT,2013-07-30,0.099791,0.1,split_bonus_large,0.0021,0.0187
AXISBANK,2014-07-28,0.199094,0.2,split_bonus_large,0.0045,0.0157
BAJAJ-AUTO,2010-09-08,0.493961,0.5,split_bonus_large,0.0122,0.0017
BAJFINANCE,2016-09-08,0.10206,0.1,split_bonus_large,0.0204,0.0127
BHARTIARTL,2009-07-24,0.510932,0.5,split_bonus_large,0.0216,0.0306
BPCL,2000-12-20,0.502812,0.5,split_bonus_large,0.0056,0.0155
BPCL,2012-07-13,0.492138,0.5,split_bonus_large,0.0158,0.0072
BPCL,2016-07-13,0.486904,0.5,split_bonus_large,0.0265,0.0007
BPCL,2017-07-13,0.670689,0.666667,split_bonus_large,0.006,0.0048
BRITANNIA,2010-09-08,0.227364,0.222222,split_bonus_large,0.0229,0.0923
BRITANNIA,2018-11-29,0.508634,0.5,split_bonus_large,0.0171,0.0117
CIPLA,2004-05-12,0.204739,0.2,split_bonus_large,0.0234,0.0055
CIPLA,2006-04-24,0.393783,0.4,split_bonus_large,0.0157,0.0232
DRREDDY,2001-10-15,0.500216,0.5,split_bonus_large,0.0004,0.0036
DRREDDY,2006-08-28,0.494872,0.5,split_bonus_large,0.0103,0.0239
EICHERMOT,2020-08-24,0.100286,0.1,split_bonus_large,0.0029,0.0134
GAIL,2008-10-06,0.639538,0.625,split_bonus_large,0.023,0.0156
GAIL,2017-03-09,0.731084,0.714286,split_bonus_moderate,0.0232,0.0146
GAIL,2018-03-27,0.75491,0.75,split_bonus_moderate,0.0065,0.0036
GAIL,2019-07-09,0.486925,0.5,split_bonus_large,0.0265,0.0003
GRASIM,2016-10-06,0.204559,0.2,split_bonus_large,0.0225,0.0074
GRASIM,2017-07-19,0.802875,0.8,split_bonus_moderate,0.0036,0.0225
HCLTECH,2000-11-29,0.494548,0.5,split_bonus_large,0.011,0.0285
HCLTECH,2007-03-15,0.491278,0.5,split_bonus_large,0.0176,0.0148
HCLTECH,2015-03-19,0.488226,0.5,split_bonus_large,0.0238,0.0133
HCLTECH,2019-12-05,0.498356,0.5,split_bonus_large,0.0033,0.0019
HDFC,2002-12-12,0.497719,0.5,split_bonus_large,0.0046,0.0421
HDFC,2010-08-18,0.206451,0.214286,split_bonus_large,0.0372,0.0232
HDFCBANK,2011-07-14,0.200798,0.2,split_bonus_large,0.004,0.0023
HDFCBANK,2019-09-19,0.50328,0.5,split_bonus_large,0.0065,0.0055
HEROMOTOCO,2001-03-14,0.205407,0.2,split_bonus_large,0.0267,0.0245
